------S代表品质提升,B代表代币------
次数 绿雕 蓝雕 红雕 紫雕
203 炼金B 能量B 情报B 加固B
204 过热B 干扰B 活力B 投诚B
205 接地B 加固B 修补B 活力B
206 修补B 投诚B 过热B 力竭B
207 保险B 干扰B 炮火B 能量B
208 投诚B 信号B 硬化B 信号B
209 炼金B 信号B 能量B 接地B
210 战地B 投诚B 干扰B 情报B
211 战地B 接地B 力竭B 力竭B
212 力竭B 接地B 力竭B 修补B
213 接地B 信号B 肾上B 战地B
214 昏沉B 投诚B 干扰B 信号B
215 炼金B 投诚B 过载B 炮火B
216 保险S 投诚B 硬化S 硬化S
217 干扰S 硬化B 力竭B 加固B
218 干扰S 投诚B 投诚S 保险B
219 昏沉B 过载B 过载B 能量B
220 辅助S 保险B 过载S 接地S
221 昏沉B 信号B 活力B 保险B
222 干扰B 昏沉B 炮火B 炮火B
223 辅助B 加固B 昏沉B 炮火B
224 战地B 信号B 投诚B 加固B
225 战地B 接地S 过载B 力竭B
226 炮火B 干扰S 战地B 加固S
227 投诚B 昏沉B 投诚B 过载B
228 加固B 修补B 过热B 炼金B
229 加固B 修补B 绝缘B 修补B
230 昏沉B 炼金B 保险B 炮火B
231 能量B 修补B 过载B 硬化B
232 昏沉B 昏沉B 活力B 能量B
233 战地B 干扰S 过载S 活力B
234 过热B 投诚B 过热B 干扰B
235 能量S 保险S 力竭B 炮火B
236 活力B 过热B 昏沉B 能量S
237 修补B 信号B 活力B 能量B
238 硬化B 保险B 炮火B 力竭B
239 接地B 活力B 辅助B 战地B
240 信号B 干扰B 力竭B 炮火B
241 炼金B 昏沉B 活力B 过热B
242 硬化B 肾上B 硬化B 能量B
243 情报B 干扰B 活力B 战地B
244 能量B 修补B 肾上B 炮火B
245 过载B 辅助B 过热B 炮火B
246 保险B 干扰B 炼金B 情报B
247 保险B 炮火B 硬化B 炼金B
248 昏沉B 炮火B 投诚B 修补B
249 保险B 保险B 能量B 接地B
250 修补B 肾上B 力竭B 炼金B
251 硬化B 炮火B 昏沉B 投诚B
252 保险B 加固B 活力B 活力B
253 炼金B 投诚B 活力B 绝缘B
254 过载B 过热S 肾上B 炮火B
255 辅助B 投诚B 硬化B 炮火B
256 力竭B 战地B 过热B 能量B
257 昏沉B 修补B 活力B 修补B
258 能量B 过载B 绝缘B 加固B
259 肾上B 修补B 绝缘B 情报B
260 投诚B 昏沉B 活力B 修补B
261 炮火B 过载B 过载B 昏沉B
262 信号B 修补B 修补B 信号B
263 战地B 干扰B 保险B 绝缘B
264 能量B 干扰B 情报B 过载B
265 保险B 修补B 接地B 力竭S
266 情报B 炼金B 战地B 投诚B
267 信号B 肾上B 过热B 活力B
268 战地B 信号B 战地B 接地B
269 炼金B 昏沉B 接地B 信号B
270 能量B 活力B 活力B 修补B
271 活力B 修补B 肾上B 保险S
272 能量B 昏沉B 战地B 能量B
273 保险B 活力B 肾上B 力竭B
274 肾上B 修补B 肾上B 接地B
275 战地B 过载B 活力B 昏沉S
276 保险B 投诚B 力竭B 昏沉B
277 炮火B 干扰B 硬化B 肾上B
278 战地B 干扰B 干扰B 肾上B
279 硬化S 投诚B 活力B 接地S
280 能量B 炮火B 过载B 能量B
281 昏沉B 炼金B 肾上B 炮火B
282 保险B 干扰B 肾上B 接地B
283 保险B 绝缘B 战地B 投诚B
284 修补B 干扰B 情报B 接地B
285 炼金B 投诚B 力竭B 战地B
286 能量B 能量B 力竭B 辅助S
287 活力B 修补B 肾上B 加固S
288 投诚B 绝缘S 过载B 炼金B
289 保险B 信号B 修补B 炮火B
290 过载B 炮火B 情报B 力竭B
291 炼金B 信号B 过热S 干扰B
292 力竭B 干扰B 硬化B 信号B
293 保险B 昏沉B 过载B 加固B
294 过载B 修补B 过热B 接地S
295 炮火B 昏沉B 活力B 加固B
296 能量B 接地B 辅助S 肾上B
297 炼金B 接地B 硬化B 辅助B
298 战地B 昏沉B 炼金B 炮火B
299 力竭B 修补B 炮火B 加固B
300 接地B 投诚B 过载B 活力B
